,Postal_Code,Population
1163,4429,12706
1164,4430,3986
1165,4431,200
1166,4434,1984
1167,4435,2388
1168,4438,2926
1169,4441,4681
1170,4442,122
1171,4443,1976
1172,4444,14488
1173,4448,956
1174,4449,2583
1175,4450,1474
1176,4451,293
1177,4453,2143
1178,4454,189
1179,4455,974
1180,4456,6141
1181,4457,9683
1182,4459,1184
1183,4460,1612
1184,4461,5099
1185,4462,10528
1186,4463,4958
1187,4464,1437
1188,4468,11760
1189,4469,6020
1190,4471,1642
1191,4472,3171
1192,4473,13190
1193,4474,5704
1194,4475,1081
1195,4476,2587
1196,4478,727
1197,4479,3042
1198,4481,1495
1199,4485,587
1200,4487,2552
1201,4488,2534
1202,4489,243
1203,4490,344
1204,4491,283
1205,4492,160
1206,4493,5174
1207,4495,709
1208,4496,9680
1209,4497,436
1210,4530,23351
1211,4535,490
1212,4537,3474
1213,4538,3612
1214,4539,2628
1215,4541,218
1216,4543,2143
1217,4544,389
1218,4547,2636
1219,4548,1704
1220,4551,2141
1221,4553,3687
1222,4554,1877
1223,4555,3513
1224,4556,3220
1225,4558,809
1226,4562,5515
1227,4563,3246
1228,4564,608
1229,4568,407
1230,4570,4
1231,4571,552
1232,4572,10306
1233,4573,565
1234,4574,4038
1235,4575,98
1236,4576,1559
1237,4578,4915
1238,4579,8549
1239,4605,27753
1240,4606,2719
1241,4607,2336
1242,4609,3424
1243,4611,1324
1244,4612,1585
1245,4613,470
1246,4614,2886
1247,4616,1326
1248,4617,1750
1249,4619,5212
1250,4622,3809
1251,4623,2303
1252,4624,324
1253,4625,118
1254,4626,1247
1255,4627,2626
1256,4628,1208
1257,4629,273
1258,4630,3114
1259,4631,2229
1260,4634,5218
1261,4635,164
1262,4637,285
1263,4640,6110
1264,4642,198
1265,4643,2752
1266,4644,15
1267,4645,92
1268,4646,147
1269,4648,1545
1270,4649,990
1271,4650,612
1272,4652,3523
1273,4653,859
1274,4654,8938
1275,4655,2878
1276,4657,950
1277,4658,2747
1278,4660,3024
1279,4662,1084
1280,4664,3283
1281,4666,1223
1282,4667,3418
1283,4668,1833
1284,4669,539
1285,4671,1166
1286,4673,113
1287,4674,1021
1288,4675,530
1289,4676,2340
1290,4677,678
1291,4679,3022
1292,4680,3118
1293,4681,2748
1294,4683,112
1295,4684,3314
1296,4685,654
1297,4686,148
1298,4691,731
1299,4693,1356
1300,4694,6493
1301,4730,22982
1302,4732,2968
1303,4733,603
1304,4734,981
1305,4735,1029
1306,4736,16952
1307,4739,2840
1308,4740,2735
1309,4741,3
1310,4742,2521
1311,4743,11662
1312,4745,1122
1313,4746,756
1314,4747,2116
1315,4750,4240
1316,4756,8703
1317,4757,6107
1318,4758,3415
1319,4760,1344
1320,4761,801
1321,4762,397
1322,4763,1124
1323,4764,178
1324,4765,1357
1325,4766,447
1326,4768,894
1327,4769,25768
1328,4772,1562
1329,4773,706
1330,4774,1235
1331,4776,2374
1332,4777,452
1333,4779,799
1334,4780,916
1335,4781,1268
1336,4783,916
1337,4785,3717
1338,4786,4103
1339,4787,1451
1340,4841,15852
1341,4843,3276
1342,4847,4194
1343,4848,964
1344,4849,5641
1345,4851,67
1346,4852,188
1347,4853,367
1348,4854,4245
1349,4855,528
1350,4856,8626
1351,4858,4072
1352,4859,1496
1353,4860,3217
1354,4861,7680
1355,4862,9402
1356,4863,2343
1357,4864,9348
1358,4901,30477
1359,4910,3160
1360,4911,5928
1361,4912,2780
1362,4915,22155
1363,4917,3111
1364,4918,941
1365,4920,3653
1366,4921,3483
1367,4922,3126
1368,4923,579
1369,4924,5886
1370,4925,204
1371,4926,80
1372,4927,9013
1373,4928,4505
1374,4929,927
1375,4930,7111
1376,4932,2527
1377,4933,145
1378,4936,725
1379,4937,11940
1380,4938,16101
1381,4939,1216
1382,4940,324
1383,4941,3776
1384,4942,818
1385,4943,4802
1386,4944,64
1387,4945,1459
1388,4947,4158
1389,4949,1963
1390,4950,13322
1391,4951,2405
1392,4952,4867
1393,4953,5462
1394,4955,2084
1395,4956,805
1396,4957,6661
1397,4958,3437
1398,4961,686
1399,4962,336
1400,4963,18864
1401,4964,470
1402,4965,4140
1403,4966,1984
1404,4967,11208
1405,4969,3183
1406,4970,2710
1407,4971,2566
1408,4973,2182
1409,4974,1507
1410,4975,27
1411,4976,21480
1412,4978,1303
1413,4979,1727
1414,4981,2969
1415,4982,1285
1416,4983,2937
1417,4984,1087
1418,4985,236
1419,4986,4621
1420,4987,1765
1421,4988,5768
1422,4989,7203
1423,4992,116
1424,5001,24683
1425,5031,243
1426,5032,4390
1427,5033,7787
1428,5034,675
1429,5035,1609
1430,5036,2261
1431,5037,577
1432,5038,3240
1433,5039,1100
1434,5040,953
1435,5041,422
1436,5042,1270
1437,5043,1521
1438,5045,3896
1439,5046,2439
1440,5048,6875
1441,5050,233
1442,5051,2666
1443,5052,921
1444,5053,677
1445,5055,5769
1446,5056,1521
1447,5058,709
1448,5059,1829
1449,5060,5283
1450,5061,2100
1451,5062,1235
1452,5065,1129
1453,5067,579
1454,5068,8396
1455,5069,1221
1456,5070,371
1457,5071,688
1458,5072,908
1459,5075,798
1460,5076,1100
1461,5077,1502
1462,5079,1867
1463,5081,343
1464,5083,267
1465,5084,286
1466,5086,995
1467,5089,11478
1468,5091,4090
1469,5101,9626
1470,5141,180
1471,5142,769
1472,5143,7319
1473,5146,1974
1474,5148,1231
1475,5149,2409
1476,5150,867
1477,5151,1923
1478,5152,891
1479,5153,865
1480,5154,1092
1481,5155,511
1482,5156,14353
1483,5158,2253
1484,5161,886
1485,5201,24664
1486,5250,9125
1487,5251,2043
1488,5252,603
1489,5253,1799
1490,5254,566
1491,5255,10945
1492,5257,4356
1493,5260,452
1494,5261,4529
1495,5262,5193
1496,5301,11319
1497,5340,1335
1498,5341,655
1499,5342,1562
1500,5343,1899
1501,5345,5749
1502,5346,8688
1503,5350,1904
1504,5352,2393
1505,5353,1788
1506,5354,3983
1507,5355,2175
1508,5356,1787
1509,5358,342
1510,5359,1556
1511,5360,170
1512,5361,1717
1513,5362,291
1514,5363,4497
1515,5401,73240
1516,5403,37018
1517,5404,14628
1518,5405,8665
1519,5408,17571
1520,5439,2712
1521,5440,5099
1522,5441,1074
1523,5442,767
1524,5443,4523
1525,5444,4582
1526,5445,9589
1527,5446,33190
1528,5447,87
1529,5448,1978
1530,5450,13314
1531,5452,30706
1532,5454,12221
1533,5455,1888
1534,5456,3405
1535,5457,1631
1536,5458,4450
1537,5459,4610
1538,5461,6724
1539,5462,4174
1540,5463,753
1541,5464,5127
1542,5465,2811
1543,5468,19305
1544,5471,1988
1545,5472,1779
1546,5473,3132
1547,5474,2180
1548,5476,8766
1549,5477,7887
1550,5478,38016
1551,5481,0
1552,5482,19747
1553,5483,1381
1554,5485,199
1555,5486,3447
1556,5487,2370
1557,5488,19281
1558,5489,7234
1559,5491,14096
1560,5492,837
1561,5494,3723
1562,5495,11071
1563,5602,33515
1564,5640,185
1565,5641,28993
1566,5647,1806
1567,5648,922
1568,5649,948
1569,5650,2314
1570,5651,3448
1571,5652,1748
1572,5653,961
1573,5654,2547
1574,5655,7494
1575,5656,3770
1576,5657,122
1577,5658,1756
1578,5660,3408
1579,5661,14197
1580,5663,11312
1581,5664,214
1582,5667,3583
1583,5669,1568
1584,5672,8690
1585,5673,5481
1586,5674,1899
1587,5675,641
1588,5676,12831
1589,5677,4672
1590,5678,247
1591,5679,3622
1592,5680,3701
1593,5681,1195
1594,5682,2829
1595,5701,56274
1596,5730,488
1597,5732,783
1598,5733,8185
1599,5734,3542
1600,5735,9269
1601,5736,1808
1602,5737,2301
1603,5738,2976
1604,5739,3245
1605,5740,46
1606,5742,1234
1607,5743,8823
1608,5744,1178
1609,5747,645
1610,5748,883
1611,5751,958
1612,5753,22537
1613,5757,2094
1614,5758,858
1615,5759,3909
